0.0,-1000,100.0
0.01,-1000,94.05
0.02,-1000,88.2
0.03,-1000,82.45
0.04,-1000,76.8
0.05,-1000,71.25
0.06,-1000,65.8
0.07,-1000,60.449999999999996
0.08,-1000,55.2
0.09,-1000,50.05
0.1,-1000,45.0
0.11,-1000,40.05
0.12,-1000,35.2
0.13,-1000,30.450000000000003
0.14,-1000,25.799999999999983
0.15,-1000,21.25
0.16,-1000,16.799999999999997
0.17,-1000,12.449999999999989
0.18,-1000,8.200000000000003
0.19,-1000,4.049999999999997
0.2,-1000,0.0
0.21,-1000,-3.950000000000003
0.22,-1000,-7.799999999999997
0.23,-1000,-11.549999999999997
0.24,-1000,-15.200000000000003
0.25,-1000,-18.75
0.26,-1000,-22.19999999999999
0.27,-1000,-25.549999999999997
0.28,-1000,-28.80000000000001
0.29,-1000,-31.94999999999999
0.3,-1000,-35.0
0.31,-1000,-37.94999999999999
0.32,-1000,-40.80000000000001
0.33,-1000,-43.55000000000001
0.34,-1000,-46.20000000000002
0.35000000000000003,-1000,-48.75
0.36,-1000,-51.19999999999999
0.37,-1000,-53.55000000000001
0.38,-1000,-55.80000000000001
0.39,-1000,-57.94999999999999
0.4,-1000,-60.0
0.41000000000000003,-1000,-61.95000000000002
0.42,-1000,-63.80000000000001
0.43,-1000,-65.55000000000001
0.44,-1000,-67.19999999999999
0.45,-1000,-68.75
0.46,-1000,-70.19999999999999
0.47000000000000003,-1000,-71.54999999999998
0.48,-1000,-72.80000000000001
0.49,-1000,-73.95000000000002
0.5,-1000,-75.0
0.51,-1000,-75.94999999999999
0.52,-1000,-76.79999999999998
0.53,-1000,-77.54999999999998
0.54,-1000,-78.19999999999999
0.55,-1000,-78.74999999999997
0.56,-1000,-79.20000000000005
0.5700000000000001,-1000,-79.55000000000001
0.58,-1000,-79.80000000000001
0.59,-1000,-79.95000000000002
0.6,-1000,-80.0
0.61,-1000,-79.95000000000002
0.62,-1000,-79.79999999999998
0.63,-1000,-79.54999999999998
0.64,-1000,-79.19999999999999
0.65,-1000,-78.74999999999997
0.66,-1000,-78.19999999999999
0.67,-1000,-77.54999999999995
0.68,-1000,-76.80000000000001
0.6900000000000001,-1000,-75.95000000000002
0.7000000000000001,-1000,-75.0
0.71,-1000,-73.95000000000002
0.72,-1000,-72.80000000000001
0.73,-1000,-71.55000000000001
0.74,-1000,-70.19999999999999
0.75,-1000,-68.75
0.76,-1000,-67.19999999999999
0.77,-1000,-65.55000000000001
0.78,-1000,-63.799999999999955
0.79,-1000,-61.94999999999993
0.8,-1000,-59.99999999999994
0.81,-1000,-57.94999999999999
0.8200000000000001,-1000,-55.80000000000001
0.8300000000000001,-1000,-53.55000000000001
0.84,-1000,-51.200000000000045
0.85,-1000,-48.75000000000006
0.86,-1000,-46.200000000000045
0.87,-1000,-43.55000000000001
0.88,-1000,-40.80000000000001
0.89,-1000,-37.94999999999999
0.9,-1000,-35.0
0.91,-1000,-31.94999999999999
0.92,-1000,-28.799999999999955
0.93,-1000,-25.549999999999955
0.9400000000000001,-1000,-22.199999999999932
0.9500000000000001,-1000,-18.749999999999943
0.96,-1000,-15.199999999999989
0.97,-1000,-11.550000000000011
0.98,-1000,-7.800000000000068
0.99,-1000,-3.9499999999999886
0.0,-990,100.0
0.01,-990,94.0995
0.02,-990,88.298
0.03,-990,82.5955
0.04,-990,76.992
0.05,-990,71.4875
0.06,-990,66.08200000000001
0.07,-990,60.775499999999994
0.08,-990,55.568
0.09,-990,50.459500000000006
0.1,-990,45.45
0.11,-990,40.5395
0.12,-990,35.72800000000001
0.13,-990,31.01549999999999
0.14,-990,26.401999999999987
0.15,-990,21.887500000000003
0.16,-990,17.471999999999994
0.17,-990,13.15549999999999
0.18,-990,8.938000000000002
0.19,-990,4.819500000000005
0.2,-990,0.8000000000000114
0.21,-990,-3.1204999999999927
0.22,-990,-6.942000000000007
0.23,-990,-10.66449999999999
0.24,-990,-14.287999999999982
0.25,-990,-17.8125
0.26,-990,-21.238000000000014
0.27,-990,-24.56450000000001
0.28,-990,-27.792000000000016
0.29,-990,-30.920499999999976
0.3,-990,-33.94999999999999
0.31,-990,-36.880499999999984
0.32,-990,-39.71199999999999
0.33,-990,-42.444500000000005
0.34,-990,-45.078
0.35000000000000003,-990,-47.61250000000001
0.36,-990,-50.048
0.37,-990,-52.3845
0.38,-990,-54.622000000000014
0.39,-990,-56.76050000000001
0.4,-990,-58.79999999999998
0.41000000000000003,-990,-60.7405
0.42,-990,-62.581999999999994
0.43,-990,-64.3245
0.44,-990,-65.96800000000002
0.45,-990,-67.51249999999999
0.46,-990,-68.95799999999997
0.47000000000000003,-990,-70.30450000000002
0.48,-990,-71.55199999999996
0.49,-990,-72.70050000000003
0.5,-990,-73.75
0.51,-990,-74.70049999999998
0.52,-990,-75.55200000000002
0.53,-990,-76.30449999999999
0.54,-990,-76.958
0.55,-990,-77.51249999999999
0.56,-990,-77.96800000000002
0.5700000000000001,-990,-78.3245
0.58,-990,-78.58199999999997
0.59,-990,-78.74049999999997
0.6,-990,-78.80000000000001
0.61,-990,-78.76050000000001
0.62,-990,-78.62199999999996
0.63,-990,-78.3845
0.64,-990,-78.048
0.65,-990,-77.61249999999998
0.66,-990,-77.07800000000003
0.67,-990,-76.4445
0.68,-990,-75.71199999999999
0.6900000000000001,-990,-74.88049999999998
0.7000000000000001,-990,-73.95000000000002
0.71,-990,-72.9205
0.72,-990,-71.79199999999997
0.73,-990,-70.56450000000001
0.74,-990,-69.238
0.75,-990,-67.8125
0.76,-990,-66.28800000000001
